time,x
1130.0,-4.235542483085142
1131.0,-4.168877386392822
1132.0,-4.213292610753829
1133.0,-4.343776408300308
1134.0,-4.385238000769974
1135.0,-4.500450311192584
1136.0,-4.501982729722547
1137.0,-4.44006254271185
1138.0,-4.401905026651414
1139.0,-4.4783782296956325
1140.0,-4.521621421774982
1141.0,-4.418158936611734
1142.0,-4.399014330006297
1143.0,-4.39802446834803
1144.0,-4.336300768350993
1145.0,-4.1939503463215235
1146.0,-4.118375642770309
1147.0,-4.1096224092959455
1148.0,-4.088441884399689
1149.0,-4.0521157936283085
1150.0,-4.086797195814975
1151.0,-4.147223701831717
1152.0,-4.1434865306456645
1153.0,-4.197465413455861
1154.0,-4.200296336459079
1155.0,-4.194028574760147
1156.0,-4.058151698121028
1157.0,-4.106593298552821
1158.0,-4.112922710176617
1159.0,-4.121705584192264
1160.0,-4.0957527894917405
1161.0,-4.034619909715348
1162.0,-4.062248217031879
1163.0,-4.1089745043275565
1164.0,-4.202998493164461
1165.0,-4.255754377353478
1166.0,-4.224055374656484
1167.0,-4.220697784153384
1168.0,-4.278602309892908
1169.0,-4.299392567358168
1170.0,-4.296840438680715
1171.0,-4.267025921135855
1172.0,-4.300556056380963
1173.0,-4.314279983748254
1174.0,-4.418529779640619
1175.0,-4.484249664678327
1176.0,-4.390084166686717
1177.0,-4.51566598522686
1178.0,-4.534397012747634
1179.0,-4.520966382813749
1180.0,-4.54180652844891
1181.0,-4.587689043799797
1182.0,-4.590431089282028
1183.0,-4.589932972853694
1184.0,-4.593889314579716
1185.0,-4.701513689194081
1186.0,-4.70922025658621
1187.0,-4.757785108204984
1188.0,-4.788595248313582
1189.0,-4.774672181478922
1190.0,-4.73686339738868
1191.0,-4.6842781053267855
1192.0,-4.712137688146236
1193.0,-4.6579847616122025
1194.0,-4.5894232277222455
1195.0,-4.523014784840801
1196.0,-4.442003227160502
1197.0,-4.449654792220978
1198.0,-4.458947576550047
1199.0,-4.410550932394481
1200.0,-4.488693209353122
1201.0,-4.475834417070173
1202.0,-4.505701052542021
1203.0,-4.526222790007184
1204.0,-4.62599535676417
1205.0,-4.676620082039512
1206.0,-4.677003770459126
1207.0,-4.624909307790789
1208.0,-4.566959407482316
1209.0,-4.570816277450668
1210.0,-4.580963405240703
1211.0,-4.628139515070353
1212.0,-4.604118211121874
1213.0,-4.6176249996361385
1214.0,-4.5818547962874865
1215.0,-4.479937783709005
1216.0,-4.481041048990834
1217.0,-4.566724757499742
1218.0,-4.615645239889843
1219.0,-4.699042316961857
1220.0,-4.767354114582644
1221.0,-4.6911792329110895
1222.0,-4.677291018110177
1223.0,-4.7642586859841884
1224.0,-4.7257067031726105
1225.0,-4.652131004742828
1226.0,-4.672113029581477
1227.0,-4.710342620266103
1228.0,-4.729015837121626
1229.0,-4.711775585704362
1230.0,-4.6740213524112075
1231.0,-4.604966946580332
1232.0,-4.53417720561131
1233.0,-4.464962705840872
1234.0,-4.385568791753073
1235.0,-4.346633779766896
1236.0,-4.434277600087945
1237.0,-4.4410807258605915
1238.0,-4.422197255987111
1239.0,-4.443561028959205
1240.0,-4.3901896743043505
1241.0,-4.410236077546794
1242.0,-4.462930119909745
1243.0,-4.37878048223269
1244.0,-4.339580095889675
1245.0,-4.326179564985488
1246.0,-4.27193637386811
1247.0,-4.209860587762289
1248.0,-4.1894511455045915
1249.0,-4.330628052411423
1250.0,-4.368892850229095
1251.0,-4.39450653939728
1252.0,-4.450578106407686
1253.0,-4.438346575084377
1254.0,-4.3687559596633125
1255.0,-4.396005100912969
1256.0,-4.460773141283696
1257.0,-4.342921869581382
1258.0,-4.368243152830599
1259.0,-4.438681607854639
1260.0,-4.424200454983627
1261.0,-4.39886728495216
1262.0,-4.43882132717019
1263.0,-4.392425594410043
1264.0,-4.419810052899704
1265.0,-4.4723410247166395
1266.0,-4.461265471132645
1267.0,-4.416002392018027
1268.0,-4.451842851766018
1269.0,-4.431993075837009
1270.0,-4.436633111180224
1271.0,-4.272805858132821
1272.0,-4.312984078553325
1273.0,-4.232331533100186
1274.0,-4.234630175240504
1275.0,-4.241224817720187
